State,City,Year,Victims,Summary,lat,lon,Name
Tennessee,Chattanooga,2015,7,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",35.047157,-85.311819,Mohammod Youssuf Abdulazeez
Texas,Fort Hood,2014,15,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",31.141716,-97.777559,Ivan Lopez
Washington,DC,2013,20,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",38.874981,-76.99453,Aaron Alexis
Texas,Fort Hood,2009,43,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested.",31.135557,-97.783664,Nidal Malik Hasan
Washington,Fairchild Air Force Base,1995,28,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",47.61864486,-117.6483587,Dean Allen Mellberg
