State,City,Year,Victims,Summary,lat,lon,Name
Texas,Sutherland Springs,2017,46,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",29.273282,-98.056488,Devin Patrick Kelley
South Carolina,Charleston,2015,10,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",32.788387,-79.933143,Dylann Storm Roof
Wisconsin,Oak Creek,2012,10,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",42.8858503,-87.8631362,Wade Michael
Wisconsin,Brookfield,2005,11,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",43.0605671,-88.1064787,Terry Michael Ratzmann
Texas,Fort Worth,1999,15,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",32.664511,-97.384246,Larry Gene Ashbrook
