Race of victim,Total,White,Black,Other,Unknown,Male,Female,Unknown
White victims,"3,518","2,963",454,40,61,"3,097",360,61
Black victims,"2,867",209,"2,604",13,41,"2,538",288,41
Other race victims,181,50,26,104,1,162,18,1
Unknown race,65,27,22,1,15,44,6,15
Sex of victim,Total,White,Black,Other,Unknown,Male,Female,Unknown
Male victims,"4,638","2,054","2,422",86,76,"4,078",484,76
Female victims,"1,928","1,168",662,71,27,"1,719",182,27
Unknown sex,65,27,22,1,15,44,6,15
